이름,ticker,비율,타율,방치
undefined,a418420,1.00,NaN,1.00
빙그레 KOSPI,a005180,0.51,0.45,1.97
에스앤디 KOSDAQ,a260970,0.32,0.32,3.14
undefined,a457550,1.00,NaN,1.00
미원상사 KOSPI,a002840,1.41,0.30,0.70
미래컴퍼니 KOSDAQ,a049950,1.60,0.34,0.62
동국S&C KOSDAQ,a100130,2.77,0.30,0.35
이노션 KOSPI,a214320,0.98,0.33,1.00
교보증권 KOSPI,a030610,0.46,0.32,2.17
신세계인터내셔날 KOSPI,a031430,1.62,0.27,0.60
SNT홀딩스 KOSPI,a036530,0.28,0.46,3.71
인트론바이오 KOSDAQ,a048530,3.35,0.33,0.31
TKG휴켐스 KOSPI,a069260,1.22,0.39,0.81
유니테스트 KOSDAQ,a086390,0.93,0.43,1.20
브랜드엑스코퍼레이션 KOSDAQ,a337930,1.62,0.33,0.66
에스비비테크 KOSDAQ,a389500,0.37,0.35,2.93
한솔아이원스 KOSDAQ,a114810,0.49,0.33,2.08
헥토파이낸셜 KOSDAQ,a234340,0.90,0.33,1.14
케이엔솔 KOSDAQ,a053080,0.74,0.32,1.45
쿠쿠홀딩스 KOSPI,a192400,0.63,0.18,1.54
유비케어 KOSDAQ,a032620,1.35,0.25,0.71
우주일렉트로 KOSDAQ,a065680,0.37,0.32,2.81
뷰웍스 KOSDAQ,a100120,1.22,0.40,0.80
CMG제약 KOSDAQ,a058820,1.63,0.38,0.59
빛과전자 KOSDAQ,a069540,0.63,0.30,1.61
지역난방공사 KOSPI,a071320,0.36,0.33,2.71
undefined,a101970,1.00,NaN,1.00
어보브반도체 KOSDAQ,a102120,0.95,0.36,1.10
undefined,a403850,1.00,NaN,1.00
undefined,a473980,1.00,NaN,1.00
흥아해운 KOSPI,a003280,0.65,0.33,1.43
삼지전자 KOSDAQ,a037460,0.18,0.40,5.60
SNT에너지 KOSPI,a100840,0.20,0.57,5.81
한국정보인증 KOSDAQ,a053300,0.87,0.26,1.15
가비아 KOSDAQ,a079940,0.32,0.33,3.17
나스미디어 KOSDAQ,a089600,2.74,0.32,0.35
드림텍 KOSPI,a192650,1.96,0.30,0.49
세방 KOSPI,a004360,1.23,0.48,0.83
케이프 KOSDAQ,a064820,0.42,0.47,2.47
undefined,a419050,1.00,NaN,1.00
HB테크놀러지 KOSDAQ,a078150,0.60,0.47,1.76
유틸렉스 KOSDAQ,a263050,6.57,0.20,0.14
진에어 KOSPI,a272450,1.96,0.36,0.48
